title,text,subject,date
True News 1,This is a real news article number 1.,health,04-10-2021
True News 2,This is a real news article number 2.,world,07-04-2021
True News 3,This is a real news article number 3.,politics,14-11-2020
True News 4,This is a real news article number 4.,health,18-05-2019
True News 5,This is a real news article number 5.,health,22-01-2019
True News 6,This is a real news article number 6.,world,26-11-2020
True News 7,This is a real news article number 7.,world,07-06-2019
True News 8,This is a real news article number 8.,world,06-04-2020
True News 9,This is a real news article number 9.,politics,22-07-2020
True News 10,This is a real news article number 10.,politics,16-08-2020
True News 11,This is a real news article number 11.,health,17-05-2020
True News 12,This is a real news article number 12.,economy,21-12-2019
True News 13,This is a real news article number 13.,economy,21-12-2020
True News 14,This is a real news article number 14.,world,31-01-2019
True News 15,This is a real news article number 15.,health,02-05-2019
True News 16,This is a real news article number 16.,health,17-03-2021
True News 17,This is a real news article number 17.,politics,02-10-2021
True News 18,This is a real news article number 18.,world,12-10-2019
True News 19,This is a real news article number 19.,economy,16-03-2021
True News 20,This is a real news article number 20.,world,19-05-2019
True News 21,This is a real news article number 21.,health,16-07-2020
True News 22,This is a real news article number 22.,economy,03-06-2020
True News 23,This is a real news article number 23.,economy,12-09-2021
True News 24,This is a real news article number 24.,economy,16-10-2019
True News 25,This is a real news article number 25.,politics,14-08-2019
True News 26,This is a real news article number 26.,health,23-02-2020
True News 27,This is a real news article number 27.,politics,14-08-2020
True News 28,This is a real news article number 28.,world,02-09-2019
True News 29,This is a real news article number 29.,health,01-02-2019
True News 30,This is a real news article number 30.,economy,12-09-2019
True News 31,This is a real news article number 31.,world,26-08-2019
True News 32,This is a real news article number 32.,politics,23-12-2021
True News 33,This is a real news article number 33.,economy,24-11-2020
True News 34,This is a real news article number 34.,politics,16-09-2019
True News 35,This is a real news article number 35.,politics,16-08-2019
True News 36,This is a real news article number 36.,economy,21-09-2019
True News 37,This is a real news article number 37.,health,26-12-2020
True News 38,This is a real news article number 38.,health,06-09-2020
True News 39,This is a real news article number 39.,economy,18-11-2019
True News 40,This is a real news article number 40.,politics,11-08-2019
True News 41,This is a real news article number 41.,health,25-03-2021
True News 42,This is a real news article number 42.,world,31-08-2021
True News 43,This is a real news article number 43.,economy,19-01-2021
True News 44,This is a real news article number 44.,sports,05-03-2019
True News 45,This is a real news article number 45.,politics,25-08-2020
True News 46,This is a real news article number 46.,economy,17-01-2019
True News 47,This is a real news article number 47.,politics,11-03-2019
True News 48,This is a real news article number 48.,politics,11-06-2019
True News 49,This is a real news article number 49.,health,28-01-2021
True News 50,This is a real news article number 50.,world,21-07-2021
True News 51,This is a real news article number 51.,world,12-12-2019
True News 52,This is a real news article number 52.,sports,11-01-2019
True News 53,This is a real news article number 53.,politics,19-11-2021
True News 54,This is a real news article number 54.,sports,03-12-2019
True News 55,This is a real news article number 55.,economy,15-01-2021
True News 56,This is a real news article number 56.,economy,13-09-2020
True News 57,This is a real news article number 57.,politics,09-10-2021
True News 58,This is a real news article number 58.,world,28-03-2019
True News 59,This is a real news article number 59.,sports,21-10-2021
True News 60,This is a real news article number 60.,health,25-01-2021
True News 61,This is a real news article number 61.,sports,11-03-2019
True News 62,This is a real news article number 62.,world,18-10-2019
True News 63,This is a real news article number 63.,health,19-11-2019
True News 64,This is a real news article number 64.,world,27-08-2020
True News 65,This is a real news article number 65.,health,07-08-2020
True News 66,This is a real news article number 66.,health,02-11-2019
True News 67,This is a real news article number 67.,politics,11-08-2019
True News 68,This is a real news article number 68.,politics,02-03-2020
True News 69,This is a real news article number 69.,politics,14-04-2019
True News 70,This is a real news article number 70.,economy,07-06-2021
True News 71,This is a real news article number 71.,economy,03-02-2020
True News 72,This is a real news article number 72.,world,17-07-2020
True News 73,This is a real news article number 73.,politics,19-06-2020
True News 74,This is a real news article number 74.,world,07-05-2021
True News 75,This is a real news article number 75.,health,29-01-2019
